n_pts,n_ols,loss,time
2,30,0.4331052952285602,0.0182490348815918
3,60,0.018613288211211502,0.0152359008789062
4,30,0.007914884173482647,0.00803685188293457
5,30,0.012605430431001362,0.00786280632019043
6,30,0.013210972040364253,0.00796413421630859
7,30,0.012112175315652653,0.0078880786895752
8,30,0.009821256746395593,0.00790095329284668
9,30,0.00796426289639849,0.00794506072998047
10,30,0.00697629506931127,0.00812315940856934
11,30,0.006485188781140516,0.00807595252990723
12,30,0.006287650238098613,0.00801396369934082
13,30,0.006267172534120503,0.0082709789276123
14,30,0.006354425983461562,0.00795793533325195
15,30,0.0065069199367270006,0.00810694694519043
16,30,0.006698013653642341,0.00812697410583496
17,30,0.006910720785605634,0.00804781913757324
18,30,0.007134088811734032,0.00802278518676758
19,30,0.007361017565820997,0.00804901123046875
20,30,0.007586909945097834,0.00802302360534668
21,30,0.007808818298607042,0.00801801681518555
22,30,0.008024893794495322,0.00809693336486816
23,30,0.008234025232700693,0.00815582275390625
24,30,0.008435598707714447,0.00814008712768555
25,30,0.008629335738363787,0.00808596611022949
26,30,0.008815183147980785,0.00806808471679688
27,30,0.00893455257643962,0.00811100006103516
28,30,0.00226429158324212,0.00818800926208496
29,30,0.0021619343612593444,0.0118939876556396
30,30,0.0020709273698069574,0.0081021785736084
