subset_sz,subset_n,time,d,index
1,807,40.573842048645s,119.33333333333333,703
2,807,39.8256819248199s,80.33333333333333,319
3,807,41.9163839817047s,75.33333333333333,162
4,807,42.757817029953s,75,271
5,807,43.7901139259338s,73.33333333333333,44
6,807,44.1419630050659s,73.33333333333333,370
7,807,47.6793870925903s,80.33333333333333,104
8,807,46.7166020870209s,80,23
9,807,47.4430918693542s,85.66666666666667,380
10,807,48.5255720615387s,84,554
11,807,49.7262978553772s,80.33333333333333,47
12,807,49.9811360836029s,98.66666666666667,495
13,807,51.0189199447632s,86.33333333333333,98
14,807,51.748085975647s,83,67
15,807,52.8024609088898s,83,415
16,807,53.8159310817719s,77,131
17,807,55.8459799289703s,86.33333333333333,2
18,807,55.3385579586029s,85.33333333333333,226
19,807,56.6117551326752s,85.33333333333333,604
20,807,57.2251889705658s,82,425
