subset_sz,subset_n,time,d,index
1,817,0.5822679996490479,0.29865361077111385,660
2,817,0.5411570072174072,0.47980416156670747,672
3,817,0.534919023513794,0.4357405140758874,793
4,817,0.534857988357544,0.3072215422276622,477
5,817,0.5124919414520264,0.30354957160342716,486
6,817,0.5356378555297852,0.4920440636474908,765
7,817,0.5295369625091553,0.29865361077111385,601
8,817,0.5371811389923096,0.29865361077111385,413
9,817,0.5395970344543457,0.29865361077111385,366
10,817,0.5368878841400146,0.29865361077111385,778
11,817,0.5366120338439941,0.3353733170134639,628
12,817,0.5365760326385498,0.49326805385556916,577
13,817,0.517974853515625,0.31456548347613217,500
14,817,0.5347239971160889,0.4528763769889841,363
15,817,0.542316198348999,0.29865361077111385,667
16,817,0.567451000213623,0.29865361077111385,381
17,817,0.5381720066070557,0.29865361077111385,568
18,817,0.5389161109924316,0.4981640146878825,712
19,817,0.5371029376983643,0.29865361077111385,382
20,817,0.5381419658660889,0.42962056303549573,359
