subset_sz,subset_n,time,d,index
1,807,39.4629139900208s,0.4436183395291202,703
2,807,39.707768201828s,0.298636926889715,319
3,807,40.9257409572601s,0.28004956629491945,162
4,807,42.1265001296997s,0.2788104089219331,271
5,807,44.3249351978302s,0.27261462205700127,44
6,807,45.6279759407043s,0.27261462205700127,370
7,807,44.8574712276459s,0.298636926889715,104
8,807,46.0270731449127s,0.29739776951672864,23
9,807,46.8382611274719s,0.3184634448574969,380
10,807,47.9194231033325s,0.31226765799256506,554
11,807,48.7878799438477s,0.298636926889715,47
12,807,49.4709451198578s,0.3667905824039653,495
13,807,50.6304490566254s,0.32094175960346966,98
14,807,52.2039070129395s,0.30855018587360594,67
15,807,52.8143849372864s,0.30855018587360594,415
16,807,53.3886549472809s,0.2862453531598513,131
17,807,54.6488389968872s,0.32094175960346966,2
18,807,55.5087230205536s,0.31722428748451054,226
19,807,56.5225851535797s,0.31722428748451054,604
20,807,57.845025062561s,0.3048327137546468,425
