subset_sz,subset_n,time,d,index
1,817,0.7615151405334473,0.43084455324357407,621
2,817,0.7502429485321045,0.1909424724602203,102
3,817,0.7614490985870361,0.11383108935128519,523
4,817,0.7680602073669434,0.06731946144430845,124
5,817,0.7673780918121338,0.02447980416156671,634
6,817,0.795583963394165,0.011015911872705019,499
7,817,0.8112490177154541,0.0073439412484700125,120
8,817,0.8153488636016846,0.004895960832313341,38
9,817,0.8363220691680908,0.0,816
10,817,0.8417589664459229,0.0,69
11,817,0.8820338249206543,0.0,659
12,817,0.8919579982757568,0.0,300
13,817,0.8974549770355225,0.0,243
14,817,0.890052080154419,0.0,196
15,817,0.9390630722045898,0.0,493
16,817,0.9644958972930908,0.0,447
17,817,0.9607729911804199,0.0,700
18,817,0.9908690452575684,0.0,406
19,817,0.9874398708343506,0.0,255
20,817,1.0264410972595215,0.0,33
