subset_sz,subset_n,time,d,index
1,400,0.18406891822814941,0.5,249
2,400,0.1800251007080078,0.2525,58
3,400,0.16813898086547852,0.0175,118
4,400,0.1838059425354004,0.015,212
5,400,0.18592095375061035,0.0125,196
6,400,0.19417214393615723,0.0125,175
7,400,0.1926429271697998,0.0125,398
8,400,0.1934809684753418,0.0125,259
9,400,0.2146298885345459,0.0125,249
10,400,0.21988296508789062,0.0125,353
11,400,0.21026015281677246,0.0125,93
12,400,0.21033906936645508,0.0125,120
13,400,0.21913790702819824,0.0125,93
14,400,0.2122960090637207,0.0125,222
15,400,0.22866415977478027,0.0125,373
16,400,0.22185993194580078,0.0125,249
17,400,0.2390730381011963,0.0125,177
18,400,0.2379930019378662,0.0125,23
19,400,0.24417996406555176,0.0125,344
20,400,0.2361760139465332,0.0125,348
