subset_sz,subset_n,time,d,index
1,100,0.011033058166503906,0.5,64
2,100,0.011049032211303711,0.1,21
3,100,0.011144876480102539,0.08,32
4,100,0.01067209243774414,0.07,61
5,100,0.010684013366699219,0.06,71
6,100,0.01108407974243164,0.06,8
7,100,0.01099085807800293,0.06,60
8,100,0.021420001983642578,0.06,8
9,100,0.01166391372680664,0.06,12
10,100,0.012128114700317383,0.06,66
11,100,0.012904882431030273,0.06,66
12,100,0.012587785720825195,0.06,66
13,100,0.012939929962158203,0.06,61
14,100,0.012989997863769531,0.06,32
15,100,0.023602008819580078,0.06,42
16,100,0.01285696029663086,0.06,42
17,100,0.013455867767333984,0.06,47
18,100,0.013741016387939453,0.06,61
19,100,0.014117002487182617,0.06,52
20,100,0.014441967010498047,0.06,12
