subset_sz,subset_n,time,d,acc,index
1,817,2.2515108585357666,0.6421449780464172,0.5691554467564259,694
2,817,1.9650440216064453,0.5167988538742065,0.7331701346389229,120
3,817,2.0354421138763428,0.4794517755508423,0.8800489596083231,223
4,817,2.0566859245300293,0.4480064809322357,0.8004895960832313,596
5,817,2.0770950317382812,0.42374148964881897,0.8580171358629131,30
6,817,2.206291913986206,0.41355666518211365,0.8898408812729498,457
7,817,2.220089912414551,0.42150720953941345,0.8518971848225214,696
8,817,2.2184882164001465,0.41252410411834717,0.8776009791921665,73
9,817,2.2879669666290283,0.40713396668434143,0.8506731946144431,618
10,817,2.4065699577331543,0.39918825030326843,0.835985312117503,670
11,817,2.333587169647217,0.4032834470272064,0.8653610771113831,253
12,817,2.27844500541687,0.397381067276001,0.8751529987760098,169
13,817,2.3406569957733154,0.40558063983917236,0.8935128518971848,167
14,817,2.4882359504699707,0.38672569394111633,0.9094247246022031,188
15,817,2.389678955078125,0.38559696078300476,0.9094247246022031,538
16,817,2.503993034362793,0.38801243901252747,0.8996328029375765,485
17,817,2.5220980644226074,0.3594515323638916,0.9094247246022031,606
18,817,2.5476858615875244,0.39695411920547485,0.8653610771113831,454
19,817,2.7077980041503906,0.388184130191803,0.8702570379436965,738
20,817,2.704408884048462,0.3874208927154541,0.8763769889840881,56
