subset_sz,subset_n,time,d,acc,index
1,400,0.995013952255249,0.7442951202392578,0.7225,299
2,400,0.8616390228271484,0.6218580603599548,0.7825,56
3,400,0.8347430229187012,0.47261887788772583,0.75,187
4,400,0.8315720558166504,0.35392123460769653,0.8725,272
5,400,0.8664288520812988,0.3061492145061493,0.955,394
6,400,0.8713240623474121,0.2951119542121887,0.95,188
7,400,0.8918569087982178,0.29904472827911377,0.9625,360
8,400,0.898123025894165,0.2872171700000763,0.9575,47
9,400,0.9214630126953125,0.2907591164112091,0.9725,357
10,400,0.931725025177002,0.24297012388706207,0.96,190
11,400,0.9435889720916748,0.25033578276634216,0.93,366
12,400,0.9714438915252686,0.23051457107067108,0.955,121
13,400,1.018975019454956,0.2099280208349228,0.9525,344
14,400,1.0121679306030273,0.23286813497543335,0.9375,394
15,400,1.01981782913208,0.23502115905284882,0.96,91
16,400,1.043968915939331,0.22900623083114624,0.9525,35
17,400,1.0817480087280273,0.238931804895401,0.955,36
18,400,1.086277961730957,0.21215170621871948,0.9475,178
19,400,1.1081080436706543,0.23137937486171722,0.965,338
20,400,1.108741044998169,0.23628003895282745,0.95,377
