subset_sz,subset_n,time,d,acc,index
1,100,0.4343881607055664,0.7293938994407654,0.5,97
2,100,0.19959497451782227,0.5320480465888977,0.67,10
3,100,0.18355989456176758,0.44501662254333496,0.81,11
4,100,0.18242096900939941,0.41614478826522827,0.8,62
5,100,0.19056987762451172,0.40632984042167664,0.83,47
6,100,0.1931149959564209,0.4019095301628113,0.81,66
7,100,0.2065441608428955,0.40520527958869934,0.84,10
8,100,0.2208240032196045,0.42023196816444397,0.82,94
9,100,0.2194209098815918,0.40666064620018005,0.85,28
10,100,0.22205710411071777,0.3857458531856537,0.85,2
11,100,0.2210681438446045,0.394988089799881,0.84,61
12,100,0.22383403778076172,0.350132018327713,0.85,67
13,100,0.23183393478393555,0.37825635075569153,0.85,81
14,100,0.24604487419128418,0.37279197573661804,0.84,15
15,100,0.2465369701385498,0.3354031443595886,0.85,90
16,100,0.23688602447509766,0.3551424741744995,0.85,89
17,100,0.24690699577331543,0.3719063103199005,0.86,26
18,100,0.24772405624389648,0.38281962275505066,0.86,100
19,100,0.24167609214782715,0.3620094656944275,0.86,62
20,100,0.24767804145812988,0.32029658555984497,0.87,50
